time,date,message
06:51:27,2024-03-03,відбій загрози балістики.
06:24:17,2024-03-03,загроза балістики зі сходу.
01:31:17,2024-03-03,пуски керованих авіаційних бомб по сумському району сумської області.
01:29:51,2024-03-03,активність тактичної авіації на півночному сході. загроза застосування кар/каб.
00:00:33,2024-03-03,обстановка станом на 00:00 03.03.24 — стратегічна авіація: не активна; — бпла: запуски ударних бпла не фіксувались\, проте не виключаються впродовж ночі; — флот: ракетоносії в портах базування. обстановка
